"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"PUSH","Jun 8, 2026, 1:14 PM","Jun 8, 2026, 1:56 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",6,8,,,
"PUSH","Jun 8, 2026, 1:14 PM","Jun 8, 2026, 1:56 PM","","Skullcrusher (Dumbbell)",,"",0,"normal",10,12,,,
"PUSH","Jun 8, 2026, 1:14 PM","Jun 8, 2026, 1:56 PM","","Skullcrusher (Dumbbell)",,"",1,"normal",12.5,10,,,
"PUSH","Jun 8, 2026, 1:14 PM","Jun 8, 2026, 1:56 PM","","Skullcrusher (Dumbbell)",,"",2,"normal",12.5,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",0,"normal",45,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",1,"normal",45,8,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Incline Bench Press (Barbell)",,"",2,"normal",45,8,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",28,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",28,8,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",28,4,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"Did bench barbell instead (40kg)",0,"normal",32,12,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"Did bench barbell instead (40kg)",1,"normal",32,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Bench Press (Dumbbell)",,"Did bench barbell instead (40kg)",2,"normal",32,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",6,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",6,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Lateral Raise (Dumbbell)",,"",2,"normal",6,10,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Skullcrusher (Dumbbell)",,"",0,"normal",10,12,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Skullcrusher (Dumbbell)",,"",1,"normal",10,12,,,
"PUSH","Jun 5, 2026, 1:08 PM","Jun 5, 2026, 1:54 PM","","Skullcrusher (Dumbbell)",,"",2,"normal",10,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Squat (Barbell)",,"",0,"normal",40,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Squat (Barbell)",,"",1,"normal",40,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Squat (Barbell)",,"",2,"normal",40,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Bulgarian Split Squat",,"",0,"normal",8,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Bulgarian Split Squat",,"",1,"normal",8,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Bulgarian Split Squat",,"",2,"normal",8,10,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Standing Calf Raise",,"10kg",0,"normal",,15,,,
"LEGS","Jun 4, 2026, 1:16 PM","Jun 4, 2026, 1:54 PM","","Standing Calf Raise",,"10kg",1,"normal",,15,,,
